Protein	Organism_Name	Length	Host	Tissue_Specimen_Source	Geo_Location	Species
protein E6*	Human papillomavirus 16	50				Alphapapillomavirus 9
cell cycle modulating protein E1^E4	Human papillomavirus 16	92				Alphapapillomavirus 9
replication protein E1	Human papillomavirus 16	649				Alphapapillomavirus 9
transforming protein E5	Human papillomavirus 16	83				Alphapapillomavirus 9
transforming protein E6	Human papillomavirus 16	158				Alphapapillomavirus 9
transforming protein E7	Human papillomavirus 16	98				Alphapapillomavirus 9
regulatory protein E2	Human papillomavirus 16	365				Alphapapillomavirus 9
minor capsid protein L2	Human papillomavirus 16	473				Alphapapillomavirus 9
major capsid protein L1	Human papillomavirus 16	505				Alphapapillomavirus 9
E6 protein	Human papillomavirus 16	158	Homo sapiens	cervix	China: Xinjiang	Alphapapillomavirus 9
E6 protein	Human papillomavirus 16	158	Homo sapiens	cervix	China: Xinjiang	Alphapapillomavirus 9
E6 protein	Human papillomavirus 16	158	Homo sapiens	cervix	China: Xinjiang	Alphapapillomavirus 9
E6 protein	Human papillomavirus 16	158	Homo sapiens	cervix	China: Xinjiang	Alphapapillomavirus 9
E6 protein	Human papillomavirus 16	158	Homo sapiens	cervix	China: Xinjiang	Alphapapillomavirus 9
E6 protein	Human papillomavirus 16	158	Homo sapiens	cervix	China: Xinjiang	Alphapapillomavirus 9
E6 protein	Human papillomavirus 16	158	Homo sapiens	cervix	China: Xinjiang	Alphapapillomavirus 9
E6 protein	Human papillomavirus 16	158	Homo sapiens	cervix	China: Xinjiang	Alphapapillomavirus 9
E6 protein	Human papillomavirus 16	158	Homo sapiens	cervix	China: Xinjiang	Alphapapillomavirus 9
E6 protein	Human papillomavirus 16	158	Homo sapiens	cervix	China: Xinjiang	Alphapapillomavirus 9
E6 oncoprotein	Human papillomavirus 16	132	Homo sapiens	cervix	India	Alphapapillomavirus 9
E6 oncoprotein	Human papillomavirus 16	132	Homo sapiens	cervix	India	Alphapapillomavirus 9
E6 oncoprotein	Human papillomavirus 16	132	Homo sapiens	cervix	India	Alphapapillomavirus 9
E6 oncoprotein	Human papillomavirus 16	132	Homo sapiens	cervix	India	Alphapapillomavirus 9
E6 oncoprotein	Human papillomavirus 16	132	Homo sapiens	cervix	India	Alphapapillomavirus 9
E6 oncoprotein	Human papillomavirus 16	132	Homo sapiens	cervix	India	Alphapapillomavirus 9
E6 oncoprotein	Human papillomavirus 16	132	Homo sapiens	cervix	India	Alphapapillomavirus 9
E6 oncoprotein	Human papillomavirus 16	132	Homo sapiens	cervix	India	Alphapapillomavirus 9
E6 oncoprotein	Human papillomavirus 16	132	Homo sapiens	cervix	India	Alphapapillomavirus 9
E6 protein	Human papillomavirus 16	151	Homo sapiens		Japan	Alphapapillomavirus 9
E7 protein	Human papillomavirus 16	98	Homo sapiens		Japan	Alphapapillomavirus 9
E1 protein	Human papillomavirus 16	649	Homo sapiens		Japan	Alphapapillomavirus 9
E2 protein	Human papillomavirus 16	365	Homo sapiens		Japan	Alphapapillomavirus 9
E4 protein	Human papillomavirus 16	95	Homo sapiens		Japan	Alphapapillomavirus 9
E5 protein	Human papillomavirus 16	83	Homo sapiens		Japan	Alphapapillomavirus 9
L2 protein	Human papillomavirus 16	473	Homo sapiens		Japan	Alphapapillomavirus 9
L1 protein	Human papillomavirus 16	531	Homo sapiens		Japan	Alphapapillomavirus 9
E6 protein	Human papillomavirus 16	151	Homo sapiens		Japan	Alphapapillomavirus 9
E7 protein	Human papillomavirus 16	98	Homo sapiens		Japan	Alphapapillomavirus 9
E1 protein	Human papillomavirus 16	649	Homo sapiens		Japan	Alphapapillomavirus 9
E2 protein	Human papillomavirus 16	365	Homo sapiens		Japan	Alphapapillomavirus 9
E4 protein	Human papillomavirus 16	95	Homo sapiens		Japan	Alphapapillomavirus 9
E5 protein	Human papillomavirus 16	83	Homo sapiens		Japan	Alphapapillomavirus 9
L2 protein	Human papillomavirus 16	473	Homo sapiens		Japan	Alphapapillomavirus 9
L1 protein	Human papillomavirus 16	531	Homo sapiens		Japan	Alphapapillomavirus 9
E6 protein	Human papillomavirus 16	151	Homo sapiens		Japan	Alphapapillomavirus 9
E7 protein	Human papillomavirus 16	98	Homo sapiens		Japan	Alphapapillomavirus 9
E1 protein	Human papillomavirus 16	649	Homo sapiens		Japan	Alphapapillomavirus 9
E2 protein	Human papillomavirus 16	365	Homo sapiens		Japan	Alphapapillomavirus 9
E4 protein	Human papillomavirus 16	95	Homo sapiens		Japan	Alphapapillomavirus 9
E5 protein	Human papillomavirus 16	83	Homo sapiens		Japan	Alphapapillomavirus 9
L2 protein	Human papillomavirus 16	473	Homo sapiens		Japan	Alphapapillomavirus 9
L1 protein	Human papillomavirus 16	531	Homo sapiens		Japan	Alphapapillomavirus 9
E6 protein	Human papillomavirus 16	151	Homo sapiens		Japan	Alphapapillomavirus 9
E7 protein	Human papillomavirus 16	98	Homo sapiens		Japan	Alphapapillomavirus 9
E1 protein	Human papillomavirus 16	649	Homo sapiens		Japan	Alphapapillomavirus 9
E2 protein	Human papillomavirus 16	365	Homo sapiens		Japan	Alphapapillomavirus 9
E4 protein	Human papillomavirus 16	95	Homo sapiens		Japan	Alphapapillomavirus 9
E5 protein	Human papillomavirus 16	83	Homo sapiens		Japan	Alphapapillomavirus 9
L2 protein	Human papillomavirus 16	473	Homo sapiens		Japan	Alphapapillomavirus 9
L1 protein	Human papillomavirus 16	531	Homo sapiens		Japan	Alphapapillomavirus 9
E6 protein	Human papillomavirus 16	151	Homo sapiens		Japan	Alphapapillomavirus 9
E7 protein	Human papillomavirus 16	98	Homo sapiens		Japan	Alphapapillomavirus 9
E1 protein	Human papillomavirus 16	649	Homo sapiens		Japan	Alphapapillomavirus 9
E2 protein	Human papillomavirus 16	365	Homo sapiens		Japan	Alphapapillomavirus 9
E4 protein	Human papillomavirus 16	95	Homo sapiens		Japan	Alphapapillomavirus 9
E5 protein	Human papillomavirus 16	83	Homo sapiens		Japan	Alphapapillomavirus 9
L2 protein	Human papillomavirus 16	473	Homo sapiens		Japan	Alphapapillomavirus 9
L1 protein	Human papillomavirus 16	531	Homo sapiens		Japan	Alphapapillomavirus 9
E6 protein	Human papillomavirus 16	151	Homo sapiens		Japan	Alphapapillomavirus 9
E7 protein	Human papillomavirus 16	98	Homo sapiens		Japan	Alphapapillomavirus 9
E1 protein	Human papillomavirus 16	649	Homo sapiens		Japan	Alphapapillomavirus 9
E2 protein	Human papillomavirus 16	365	Homo sapiens		Japan	Alphapapillomavirus 9
E4 protein	Human papillomavirus 16	50	Homo sapiens		Japan	Alphapapillomavirus 9
E5 protein	Human papillomavirus 16	83	Homo sapiens		Japan	Alphapapillomavirus 9
L2 protein	Human papillomavirus 16	473	Homo sapiens		Japan	Alphapapillomavirus 9
L1 protein	Human papillomavirus 16	531	Homo sapiens		Japan	Alphapapillomavirus 9
E6 protein	Human papillomavirus 16	151	Homo sapiens		Japan	Alphapapillomavirus 9
E7 protein	Human papillomavirus 16	98	Homo sapiens		Japan	Alphapapillomavirus 9
E1 protein	Human papillomavirus 16	649	Homo sapiens		Japan	Alphapapillomavirus 9
E2 protein	Human papillomavirus 16	365	Homo sapiens		Japan	Alphapapillomavirus 9
E4 protein	Human papillomavirus 16	95	Homo sapiens		Japan	Alphapapillomavirus 9
E5 protein	Human papillomavirus 16	83	Homo sapiens		Japan	Alphapapillomavirus 9
L2 protein	Human papillomavirus 16	473	Homo sapiens		Japan	Alphapapillomavirus 9
L1 protein	Human papillomavirus 16	531	Homo sapiens		Japan	Alphapapillomavirus 9
E6 protein	Human papillomavirus 16	151	Homo sapiens		Japan	Alphapapillomavirus 9
E7 protein	Human papillomavirus 16	98	Homo sapiens		Japan	Alphapapillomavirus 9
E1 protein	Human papillomavirus 16	649	Homo sapiens		Japan	Alphapapillomavirus 9
E2 protein	Human papillomavirus 16	365	Homo sapiens		Japan	Alphapapillomavirus 9
E4 protein	Human papillomavirus 16	95	Homo sapiens		Japan	Alphapapillomavirus 9
E5 protein	Human papillomavirus 16	83	Homo sapiens		Japan	Alphapapillomavirus 9
L2 protein	Human papillomavirus 16	473	Homo sapiens		Japan	Alphapapillomavirus 9
L1 protein	Human papillomavirus 16	531	Homo sapiens		Japan	Alphapapillomavirus 9
E6 protein	Human papillomavirus 16	151	Homo sapiens		Japan	Alphapapillomavirus 9
E7 protein	Human papillomavirus 16	98	Homo sapiens		Japan	Alphapapillomavirus 9
E1 protein	Human papillomavirus 16	649	Homo sapiens		Japan	Alphapapillomavirus 9
E2 protein	Human papillomavirus 16	365	Homo sapiens		Japan	Alphapapillomavirus 9
E4 protein	Human papillomavirus 16	95	Homo sapiens		Japan	Alphapapillomavirus 9
E5 protein	Human papillomavirus 16	83	Homo sapiens		Japan	Alphapapillomavirus 9
L2 protein	Human papillomavirus 16	473	Homo sapiens		Japan	Alphapapillomavirus 9
L1 protein	Human papillomavirus 16	531	Homo sapiens		Japan	Alphapapillomavirus 9
E6 protein	Human papillomavirus 16	151	Homo sapiens		Japan	Alphapapillomavirus 9
E7 protein	Human papillomavirus 16	98	Homo sapiens		Japan	Alphapapillomavirus 9
E1 protein	Human papillomavirus 16	649	Homo sapiens		Japan	Alphapapillomavirus 9
E2 protein	Human papillomavirus 16	365	Homo sapiens		Japan	Alphapapillomavirus 9
E4 protein	Human papillomavirus 16	95	Homo sapiens		Japan	Alphapapillomavirus 9
E5 protein	Human papillomavirus 16	83	Homo sapiens		Japan	Alphapapillomavirus 9
L2 protein	Human papillomavirus 16	473	Homo sapiens		Japan	Alphapapillomavirus 9
L1 protein	Human papillomavirus 16	531	Homo sapiens		Japan	Alphapapillomavirus 9
E6	Human papillomavirus 16	133	Homo sapiens		Cuba	Alphapapillomavirus 9
E6	Human papillomavirus 16	133	Homo sapiens	cervix	Cuba	Alphapapillomavirus 9
E6	Human papillomavirus 16	133	Homo sapiens	cervix	Cuba	Alphapapillomavirus 9
E6	Human papillomavirus 16	133	Homo sapiens	cervix	Cuba	Alphapapillomavirus 9
E6	Human papillomavirus 16	133	Homo sapiens	cervix	Cuba	Alphapapillomavirus 9
E6	Human papillomavirus 16	133	Homo sapiens	cervix	Cuba	Alphapapillomavirus 9
E6	Human papillomavirus 16	133	Homo sapiens	cervix	Cuba	Alphapapillomavirus 9
E6	Human papillomavirus 16	133	Homo sapiens		Cuba	Alphapapillomavirus 9
E6	Human papillomavirus 16	133	Homo sapiens		Cuba	Alphapapillomavirus 9
E6	Human papillomavirus 16	133	Homo sapiens		Cuba	Alphapapillomavirus 9
E6	Human papillomavirus 16	133	Homo sapiens		Cuba	Alphapapillomavirus 9
E6	Human papillomavirus 16	133	Homo sapiens	cervix	Cuba	Alphapapillomavirus 9
E6	Human papillomavirus 16	133	Homo sapiens	cervix	Cuba	Alphapapillomavirus 9
E6	Human papillomavirus 16	133	Homo sapiens	cervix	Cuba	Alphapapillomavirus 9
E6	Human papillomavirus 16	133	Homo sapiens	cervix	Cuba	Alphapapillomavirus 9
